
--- RK4 Steps (RK4 Problem 1), h=0.1 ---
Step	X	Y-values
0	0.100000	1.123049
1	0.200000	1.308496
2	0.300000	1.595754
3	0.400000	2.064900
4	0.500000	2.907820
5	0.600000	4.727897
6	0.700000	10.853932

--- RK4 Steps (RK4 Problem 1), h=0.25 ---
Step	X	Y-values
0	0.250000	1.435558
1	0.500000	2.897227
2	0.750000	17.885430

--- RK4 Steps (RK4 Problem 1), h=0.45 ---
Step	X	Y-values
0	0.450000	2.389060
1	0.900000	109.960226

--- RK4 Steps (RK4 Damped SHO), h=0.05 ---
Step	X	Y-values
486	24.350000	0.096999	0.121451
487	24.400000	0.102925	0.115563
488	24.450000	0.108551	0.109431
489	24.500000	0.113865	0.103072
490	24.550000	0.118855	0.096504
491	24.600000	0.123512	0.089745
492	24.650000	0.127827	0.082813
493	24.700000	0.131791	0.075726
494	24.750000	0.135397	0.068504
495	24.800000	0.138639	0.061165
496	24.850000	0.141512	0.053729
497	24.900000	0.144011	0.046215
498	24.950000	0.146132	0.038641
499	25.000000	0.147874	0.031028
500	25.050000	0.149235	0.023395
501	25.100000	0.150214	0.015760
502	25.150000	0.150811	0.008143
503	25.200000	0.151029	0.000563
504	25.250000	0.150868	-0.006962
505	25.300000	0.150334	-0.014413
506	25.350000	0.149429	-0.021773
507	25.400000	0.148158	-0.029024
508	25.450000	0.146528	-0.036148
509	25.500000	0.144546	-0.043129
510	25.550000	0.142218	-0.049950
511	25.600000	0.139554	-0.056596
512	25.650000	0.136562	-0.063052
513	25.700000	0.133252	-0.069302
514	25.750000	0.129635	-0.075333
515	25.800000	0.125723	-0.081131
516	25.850000	0.121526	-0.086684
517	25.900000	0.117058	-0.091979
518	25.950000	0.112333	-0.097006
519	26.000000	0.107363	-0.101754
520	26.050000	0.102162	-0.106213
521	26.100000	0.096746	-0.110374
522	26.150000	0.091130	-0.114230
523	26.200000	0.085328	-0.117772
524	26.250000	0.079358	-0.120994
525	26.300000	0.073234	-0.123891
526	26.350000	0.066974	-0.126457
527	26.400000	0.060594	-0.128690
528	26.450000	0.054111	-0.130586
529	26.500000	0.047541	-0.132142
530	26.550000	0.040902	-0.133357
531	26.600000	0.034211	-0.134232
532	26.650000	0.027485	-0.134765
533	26.700000	0.020740	-0.134959
534	26.750000	0.013995	-0.134816
535	26.800000	0.007264	-0.134338
536	26.850000	0.000566	-0.133529
537	26.900000	-0.006083	-0.132393
538	26.950000	-0.012667	-0.130936
539	27.000000	-0.019171	-0.129164
540	27.050000	-0.025579	-0.127084
541	27.100000	-0.031875	-0.124703
542	27.150000	-0.038044	-0.122029
543	27.200000	-0.044073	-0.119071
544	27.250000	-0.049947	-0.115839
545	27.300000	-0.055652	-0.112342
546	27.350000	-0.061177	-0.108592
547	27.400000	-0.066507	-0.104599
548	27.450000	-0.071633	-0.100376
549	27.500000	-0.076541	-0.095935
550	27.550000	-0.081223	-0.091287
551	27.600000	-0.085667	-0.086448
552	27.650000	-0.089865	-0.081429
553	27.700000	-0.093807	-0.076244
